08/04/2024 10:05:48 - url: /html/login.html | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 10:05:48 - url: /js/login.js | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 10:05:50 - url: /favicon.ico | controller: Unknown | method: GET | duration time:  2ms | User Name : unknown
08/04/2024 10:06:07 - url: /html/login.html | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 10:06:26 - url: /api/Login | controller: Authentication | method: POST | duration time:  5170ms | User Name : unknown
08/04/2024 10:06:26 - url: /html/index.html | controller: Unknown | method: GET | duration time:  0ms | User Name : unknown
08/04/2024 10:06:26 - url: /html/tasks.html | controller: Unknown | method: GET | duration time:  2ms | User Name : unknown
08/04/2024 10:06:26 - url: /js/utils.js | controller: Unknown | method: GET | duration time:  71ms | User Name : unknown
08/04/2024 10:06:26 - url: /js/tasks.js | controller: Unknown | method: GET | duration time:  70ms | User Name : unknown
08/04/2024 10:06:26 - url: /api/todo | controller: User | method: GET | duration time:  173ms | User Name : Malky
08/04/2024 10:06:26 - url: /api/me | controller: User | method: GET | duration time:  173ms | User Name : Malky
08/04/2024 10:06:26 - url: /api/type | controller: User | method: GET | duration time:  7ms | User Name : Malky
08/04/2024 10:06:46 - url: /api/todo | controller: User | method: POST | duration time:  43ms | User Name : Malky
08/04/2024 10:06:46 - url: /html/tasks.html | controller: Unknown | method: GET | duration time:  0ms | User Name : unknown
08/04/2024 10:06:46 - url: /js/utils.js | controller: Unknown | method: GET | duration time:  0ms | User Name : unknown
08/04/2024 10:06:46 - url: /api/me | controller: User | method: GET | duration time:  1ms | User Name : Malky
08/04/2024 10:06:46 - url: /api/todo | controller: User | method: GET | duration time:  2ms | User Name : Malky
08/04/2024 10:06:46 - url: /api/type | controller: User | method: GET | duration time:  1ms | User Name : Malky
08/04/2024 10:06:49 - url: /api/todo/8 | controller: User | method: DELETE | duration time:  43ms | User Name : Malky
08/04/2024 10:06:55 - url: /html/users.html | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 10:06:55 - url: /js/users.js | controller: Unknown | method: GET | duration time:  66ms | User Name : unknown
08/04/2024 10:06:55 - url: /api/me | controller: User | method: GET | duration time:  0ms | User Name : Malky
08/04/2024 10:06:55 - url: /api/user | controller: Admin | method: GET | duration time:  15ms | User Name : Malky
08/04/2024 10:07:03 - url: /api/user/1/todo/4 | controller: Admin | method: PUT | duration time:  28ms | User Name : Malky
08/04/2024 10:07:08 - url: /api/user/1/todo/7 | controller: Admin | method: PUT | duration time:  25ms | User Name : Malky
08/04/2024 10:07:16 - url: /js/utils.js | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 10:07:16 - url: /js/tasks.js | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 10:07:16 - url: /api/me | controller: User | method: GET | duration time:  5ms | User Name : Malky
08/04/2024 10:07:16 - url: /api/todo | controller: User | method: GET | duration time:  2ms | User Name : Malky
08/04/2024 10:07:16 - url: /api/type | controller: User | method: GET | duration time:  1ms | User Name : Malky
08/04/2024 10:07:41 - url: /api/me | controller: User | method: PUT | duration time:  3994ms | User Name : Malky
08/04/2024 10:08:18 - url: /js/utils.js | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 10:08:18 - url: /js/tasks.js | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 10:08:21 - url: /api/me | controller: User | method: GET | duration time:  0ms | User Name : Malky
08/04/2024 10:10:09 - url: /_vs/browserLink | controller: Unknown | method: GET | duration time:  211ms | User Name : unknown
08/04/2024 10:10:09 - url: /_framework/aspnetcore-browser-refresh.js | controller: Unknown | method: GET | duration time:  211ms | User Name : unknown
08/04/2024 10:10:32 - url: /api/Login | controller: Authentication | method: POST | duration time:  4560ms | User Name : unknown
08/04/2024 10:10:32 - url: /js/utils.js | controller: Unknown | method: GET | duration time:  66ms | User Name : unknown
08/04/2024 10:10:32 - url: /js/tasks.js | controller: Unknown | method: GET | duration time:  96ms | User Name : unknown
08/04/2024 10:10:32 - url: /api/todo | controller: User | method: GET | duration time:  177ms | User Name : Dan
08/04/2024 10:10:32 - url: /api/me | controller: User | method: GET | duration time:  191ms | User Name : Dan
08/04/2024 10:10:32 - url: /api/type | controller: User | method: GET | duration time:  12ms | User Name : Dan
08/04/2024 10:10:52 - url: /api/me | controller: User | method: PUT | duration time:  4218ms | User Name : Dan
08/04/2024 10:10:56 - url: /html/tasks.html | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 10:10:56 - url: /js/utils.js | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 10:10:56 - url: /js/tasks.js | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 10:10:56 - url: /api/me | controller: User | method: GET | duration time:  8ms | User Name : Dan
08/04/2024 10:10:56 - url: /api/todo | controller: User | method: GET | duration time:  31ms | User Name : Dan
08/04/2024 10:10:56 - url: /api/type | controller: User | method: GET | duration time:  1ms | User Name : Dan
08/04/2024 10:11:23 - url: /api/me | controller: User | method: PUT | duration time:  4253ms | User Name : Dan
08/04/2024 10:11:26 - url: /html/tasks.html | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 10:11:26 - url: /js/tasks.js | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 10:11:26 - url: /js/utils.js | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 10:11:26 - url: /api/me | controller: User | method: GET | duration time:  1ms | User Name : Dan
08/04/2024 10:11:26 - url: /api/todo | controller: User | method: GET | duration time:  1ms | User Name : Dan
08/04/2024 10:11:26 - url: /api/type | controller: User | method: GET | duration time:  1ms | User Name : Dan
08/04/2024 10:11:46 - url: /api/todo/3 | controller: User | method: PUT | duration time:  24ms | User Name : unknown
08/04/2024 10:14:13 - url: /swagger/index.html | controller: Unknown | method: GET | duration time:  119ms | User Name : unknown
08/04/2024 10:14:14 - url: /swagger/v1/swagger.json | controller: Unknown | method: GET | duration time:  270ms | User Name : unknown
08/04/2024 10:14:36 - url: /swagger/index.html | controller: Unknown | method: GET | duration time:  0ms | User Name : unknown
08/04/2024 10:14:37 - url: /swagger/v1/swagger.json | controller: Unknown | method: GET | duration time:  13ms | User Name : unknown
08/04/2024 10:15:24 - url: /swagger/index.html | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 10:15:25 - url: /swagger/swagger-ui.css | controller: Unknown | method: GET | duration time:  33ms | User Name : unknown
08/04/2024 10:15:25 - url: /swagger/swagger-ui-standalone-preset.js | controller: Unknown | method: GET | duration time:  35ms | User Name : unknown
08/04/2024 10:15:25 - url: /swagger/swagger-ui-bundle.js | controller: Unknown | method: GET | duration time:  48ms | User Name : unknown
08/04/2024 10:15:25 - url: /swagger/v1/swagger.json | controller: Unknown | method: GET | duration time:  6ms | User Name : unknown
08/04/2024 10:15:26 - url: /swagger/favicon-32x32.png | controller: Unknown | method: GET | duration time:  0ms | User Name : unknown
08/04/2024 10:16:10 - url: /api/Login | controller: Authentication | method: POST | duration time:  4579ms | User Name : unknown
08/04/2024 10:17:04 - url: /api/me | controller: User | method: PUT | duration time:  4770ms | User Name : Dan
08/04/2024 10:17:59 - url: /api/Login | controller: Authentication | method: POST | duration time:  5002ms | User Name : unknown
08/04/2024 10:18:40 - url: /api/me | controller: User | method: PUT | duration time:  3851ms | User Name : Dani
30/04/2024 10:53:38 - url: /html/index.html | controller: Unknown | method: GET | duration time:  114ms | User Name : unknown
30/04/2024 10:53:38 - url: /css/site.css | controller: Unknown | method: GET | duration time:  17ms | User Name : unknown
30/04/2024 10:53:38 - url: /js/index.js | controller: Unknown | method: GET | duration time:  41ms | User Name : unknown
30/04/2024 10:53:38 - url: /html/login.html | controller: Unknown | method: GET | duration time:  46ms | User Name : unknown
30/04/2024 10:53:38 - url: /js/login.js | controller: Unknown | method: GET | duration time:  29ms | User Name : unknown
30/04/2024 10:53:39 - url: /favicon.ico | controller: Unknown | method: GET | duration time:  59ms | User Name : unknown
30/04/2024 10:54:03 - url: /html/login.html | controller: Unknown | method: GET | duration time:  0ms | User Name : unknown
30/04/2024 10:54:03 - url: /js/login.js | controller: Unknown | method: GET | duration time:  0ms | User Name : unknown
30/04/2024 10:54:25 - url: /api/Login | controller: Authentication | method: POST | duration time:  3457ms | User Name : unknown
30/04/2024 10:54:25 - url: /html/index.html | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
30/04/2024 10:54:25 - url: /js/index.js | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
30/04/2024 10:54:25 - url: /css/site.css | controller: Unknown | method: GET | duration time:  2ms | User Name : unknown
30/04/2024 10:54:26 - url: /html/tasks.html | controller: Unknown | method: GET | duration time:  31ms | User Name : unknown
30/04/2024 10:54:26 - url: /js/utils.js | controller: Unknown | method: GET | duration time:  30ms | User Name : unknown
30/04/2024 10:54:26 - url: /js/tasks.js | controller: Unknown | method: GET | duration time:  35ms | User Name : unknown
30/04/2024 10:54:26 - url: /api/me | controller: User | method: GET | duration time:  116ms | User Name : Malky
30/04/2024 10:54:26 - url: /api/todo | controller: User | method: GET | duration time:  114ms | User Name : Malky
30/04/2024 10:54:26 - url: /api/type | controller: User | method: GET | duration time:  6ms | User Name : Malky
30/04/2024 10:54:27 - url: /api/Login | controller: Authentication | method: POST | duration time:  3254ms | User Name : unknown
